rank_within_split,split,scene,acquisition_date,tile_name,tile,label,mask_pixels,latitude,longitude,left,bottom,right,top,center_x,center_y,cnn_score,unet_mean_probability,unet_max_probability,unet_p95_probability,candidate_pixel_count,candidate_fraction,final_fusion_score
20,test,S1A_20190824,2019-08-24,S1A_20190824_r16420_c20928_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r16420_c20928_negative.npz,negative,0,20.09557604277063,71.41799889560215,750280.0398668933,2221331.6731203357,755400.0398668933,2226451.6731203357,752840.0398668933,2223891.6731203357,0.6747433543205261,0.15866616368293762,0.32975664734840393,0.19950662553310394,12758,0.04866790771484375,1.272656434778495
21,test,S1A_20190824,2019-08-24,S1A_20190824_r15908_c25024_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r15908_c25024_negative.npz,negative,0,20.135988740485615,71.81021148458962,791240.0398668933,2226451.6731203357,796360.0398668933,2231571.6731203357,793800.0398668933,2229011.6731203357,0.8398922085762024,0.1529303789138794,0.31555241346359253,0.1751474142074585,4493,0.017139434814453125,1.2372259421298482
22,test,S1A_20190824,2019-08-24,S1A_20190824_r17956_c22464_positive.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r17956_c22464_positive.npz,positive,5801,19.954839554094374,71.56253562176764,765640.0398668933,2205971.6731203357,770760.0398668933,2211091.6731203357,768200.0398668933,2208531.6731203357,0.589994490146637,0.1601945161819458,0.3409305214881897,0.20611999928951263,17578,0.06705474853515625,1.1886688301823354
23,test,S1A_20190812,2019-08-12,S1A_20190812_r15908_c22975_positive.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r15908_c22975_positive.npz,positive,9984,20.13897182759278,71.61444109625509,770756.2547835225,2226448.068746178,775876.2547835225,2231568.068746178,773316.2547835225,2229008.068746178,0.595485270023346,0.15862907469272614,0.3532383441925049,0.20066246390342712,13438,0.05126190185546875,1.1358765809004285
24,test,S1A_20190824,2019-08-24,S1A_20190824_r16932_c21440_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r16932_c21440_negative.npz,negative,0,20.04867420922423,71.46620635581604,755400.0398668933,2216211.6731203357,760520.0398668933,2221331.6731203357,757960.0398668933,2218771.6731203357,0.6858945488929749,0.15678800642490387,0.29709112644195557,0.18561843037605286,6371,0.024303436279296875,1.1152343223861403
25,test,S1A_20190824,2019-08-24,S1A_20190824_r16420_c22464_positive.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r16420_c22464_positive.npz,positive,7790,20.093503057376545,71.56478495777567,765640.0398668933,2221331.6731203357,770760.0398668933,2226451.6731203357,768200.0398668933,2223891.6731203357,0.7742181420326233,0.1542772352695465,0.3193138539791107,0.17354716360569,3321,0.012668609619140625,1.0894614476427067
26,test,S1A_20190812,2019-08-12,S1A_20190812_r15396_c24511_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r15396_c24511_negative.npz,negative,0,20.18294388067278,71.76205826562524,786116.2547835225,2231568.068746178,791236.2547835225,2236688.068746178,788676.2547835225,2234128.068746178,0.54269939661026,0.1581479012966156,0.3328949213027954,0.203524649143219,14701,0.056079864501953125,1.059875302056624
27,test,S1A_20190812,2019-08-12,S1A_20190812_r15396_c23999_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r15396_c23999_negative.npz,negative,0,20.18370631639522,71.71311157534456,780996.2547835225,2231568.068746178,786116.2547835225,2236688.068746178,783556.2547835225,2234128.068746178,0.5269814133644104,0.15859904885292053,0.33335888385772705,0.20247407257556915,14538,0.05545806884765625,1.0226764491688525
28,test,S1A_20190812,2019-08-12,S1A_20190812_r15396_c22975_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r15396_c22975_negative.npz,negative,0,20.185190398584513,71.61521155118095,770756.2547835225,2231568.068746178,775876.2547835225,2236688.068746178,773316.2547835225,2234128.068746178,0.5477908849716187,0.15736806392669678,0.3384951949119568,0.196427583694458,11603,0.044261932373046875,1.0070513180275797
29,test,S1A_20190812,2019-08-12,S1A_20190812_r15908_c23999_positive.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r15908_c23999_positive.npz,positive,5290,20.13749143041714,71.71231236323969,780996.2547835225,2226448.068746178,786116.2547835225,2231568.068746178,783556.2547835225,2229008.068746178,0.5088160037994385,0.15896761417388916,0.3445245027542114,0.20295655727386475,15101,0.057605743408203125,0.9937004620446945
30,test,S1A_20190812,2019-08-12,S1A_20190812_r15908_c24511_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r15908_c24511_negative.npz,negative,0,20.13673088781552,71.76124467938372,786116.2547835225,2226448.068746178,791236.2547835225,2231568.068746178,788676.2547835225,2229008.068746178,0.647293210029602,0.15524820983409882,0.31444042921066284,0.17738083004951477,4971,0.018962860107421875,0.9772772515732857
31,test,S1A_20190812,2019-08-12,S1A_20190812_r15908_c23487_positive.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r15908_c23487_positive.npz,positive,7929,20.13823841120747,71.66337782220116,775876.2547835225,2226448.068746178,780996.2547835225,2231568.068746178,778436.2547835225,2229008.068746178,0.5783530473709106,0.15657955408096313,0.33910226821899414,0.18680761754512787,8186,0.03122711181640625,0.9734799172163279
32,test,S1A_20190824,2019-08-24,S1A_20190824_r15396_c26048_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r15396_c26048_negative.npz,negative,0,20.180606956849296,71.90892135189874,801480.0398668933,2231571.6731203357,806600.0398668933,2236691.6731203357,804040.0398668933,2234131.6731203357,0.7346305847167969,0.15000836551189423,0.28513669967651367,0.18930496275424957,780,0.0029754638671875,0.9262809607201066
33,test,S1A_20190812,2019-08-12,S1A_20190812_r15396_c23487_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r15396_c23487_negative.npz,negative,0,20.184455156566177,71.66416265718298,775876.2547835225,2231568.068746178,780996.2547835225,2236688.068746178,778436.2547835225,2234128.068746178,0.5597918033599854,0.15579192340373993,0.32575228810310364,0.18347111344337463,7715,0.029430389404296875,0.9193233298843262
34,test,S1A_20190824,2019-08-24,S1A_20190824_r15908_c26048_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r15908_c26048_negative.npz,negative,0,20.13439984740169,71.90806464940066,801480.0398668933,2226451.6731203357,806600.0398668933,2231571.6731203357,804040.0398668933,2229011.6731203357,0.7068568468093872,0.15762478113174438,0.22588112950325012,0.19029854238033295,64,0.000244140625,0.5615128096392955
35,test,S1A_20190824,2019-08-24,S1A_20190824_r16932_c26048_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r16932_c26048_negative.npz,negative,0,20.041984798296994,71.90635839552777,801480.0398668933,2216211.6731203357,806600.0398668933,2221331.6731203357,804040.0398668933,2218771.6731203357,0.5685611963272095,0.17258985340595245,0.1918303221464157,0.19032472372055054,0,0.0,0.0
36,test,S1A_20190824,2019-08-24,S1A_20190824_r16420_c26048_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r16420_c26048_negative.npz,negative,0,20.088192461028747,71.90721033167321,801480.0398668933,2221331.6731203357,806600.0398668933,2226451.6731203357,804040.0398668933,2223891.6731203357,0.5824130177497864,0.1648840457201004,0.1912611722946167,0.19030997157096863,0,0.0,0.0
37,test,S1A_20190824,2019-08-24,S1A_20190824_r15908_c23488_positive.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r15908_c23488_positive.npz,positive,7990,20.13827039972172,71.6634145507979,775880.0398668933,2226451.6731203357,781000.0398668933,2231571.6731203357,778440.0398668933,2229011.6731203357,0.8920690417289734,0.1578141748905182,0.18998849391937256,0.17216427624225616,0,0.0,0.0
38,test,S1A_20190824,2019-08-24,S1A_20190824_r15908_c22976_positive.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r15908_c22976_positive.npz,positive,9939,20.13900382742065,71.61447781634313,770760.0398668933,2226451.6731203357,775880.0398668933,2231571.6731203357,773320.0398668933,2229011.6731203357,0.8999847769737244,0.1587175726890564,0.18753167986869812,0.17413240671157837,0,0.0,0.0
